Generation,Average Fitness,Best Fitness,Worst Fitness
0,-468.93,-171.43,-858.52
1,-218.35,-84.07,-464.68
2,-149.83,-32.27,-326.78
3,-92.76,-12.01,-397.70
4,-61.18,-0.37,-306.88
5,-21.34,2.35,-259.12
6,-12.28,2.70,-265.23
7,-10.23,2.85,-268.71
8,-7.62,2.90,-164.48
9,-4.09,3.70,-89.32
10,-5.94,3.60,-265.76
11,-12.05,3.50,-346.35
12,-3.45,3.50,-161.54
13,-3.33,5.10,-187.10
14,-2.91,4.95,-256.65
15,-0.83,6.40,-94.55
16,-2.87,7.80,-244.85
17,-2.64,7.60,-188.65
18,-0.61,9.20,-275.35
19,-2.59,10.80,-325.10
20,-3.86,10.15,-283.20
21,1.48,10.90,-292.25
22,-0.78,11.50,-213.90
23,1.26,13.05,-293.05
24,2.71,12.50,-169.95
25,1.42,12.50,-302.35
26,1.87,15.65,-169.60
27,-1.31,16.25,-293.10
28,-1.31,17.55,-315.65
29,0.59,18.45,-553.55
30,3.03,19.30,-236.83
31,1.98,20.40,-176.60
32,2.15,21.30,-257.41
33,1.80,22.65,-365.20
34,2.84,22.50,-264.15
35,2.96,22.70,-323.80
36,-0.52,24.05,-304.15
37,-1.21,25.60,-320.50
38,-1.30,23.10,-301.65
39,2.18,24.55,-306.55
40,1.04,23.95,-313.35
41,2.95,25.10,-267.70
42,4.97,24.80,-242.81
43,5.70,26.30,-354.12
44,9.79,28.50,-221.71
45,-2.16,26.35,-364.80
46,9.13,27.90,-406.45
47,9.03,29.10,-322.60
48,3.74,30.90,-546.30
49,13.98,30.95,-220.60
50,12.53,35.00,-399.02
51,11.70,34.05,-266.75
52,9.33,34.65,-373.05
53,11.11,42.60,-444.75
54,12.25,37.95,-262.95
55,15.10,37.20,-347.30
56,11.14,36.70,-321.85
57,4.52,37.36,-453.81
58,20.31,41.80,-315.00
59,11.17,38.02,-430.55
60,17.18,45.50,-444.00
61,15.03,41.15,-338.30
62,20.79,44.20,-264.82
63,10.74,45.30,-290.75
64,19.81,48.09,-272.75
65,12.61,50.70,-394.55
66,20.78,51.71,-301.85
67,13.94,51.80,-425.82
68,22.17,48.51,-501.35
69,22.05,54.00,-357.95
70,30.42,57.85,-224.34
71,22.72,57.00,-513.95
72,28.90,53.80,-457.25
73,25.11,53.90,-313.40
74,27.77,62.35,-303.97
75,20.69,56.53,-346.40
76,20.57,55.71,-322.32
77,31.66,58.15,-294.70
78,25.09,58.80,-297.85
79,26.30,58.65,-334.90
80,31.30,59.30,-490.40
81,26.60,59.68,-378.25
82,24.22,60.50,-379.70
83,35.47,62.95,-275.58
84,35.10,71.95,-280.90
85,39.44,84.04,-232.79
86,45.56,118.83,-410.80
87,45.58,123.82,-386.86
88,71.28,135.01,-589.55
89,80.36,132.28,-352.33
90,80.64,137.69,-354.46
91,76.95,148.88,-508.34
92,80.49,170.36,-622.21
93,103.88,176.94,-401.54
94,113.29,188.68,-400.33
95,123.14,176.16,-550.37
96,118.41,180.12,-725.20
97,126.18,192.46,-280.16
98,125.04,189.57,-560.55
99,116.65,204.32,-556.10
100,131.90,202.69,-383.89
101,124.92,199.19,-809.10
102,140.96,215.53,-421.62
103,149.95,220.07,-582.43
104,155.24,228.54,-683.70
105,155.39,235.39,-778.40
106,153.89,231.27,-600.35
107,161.78,238.06,-544.00
108,166.16,244.91,-592.70
109,188.86,245.70,-413.71
110,174.72,264.25,-636.35
111,180.70,262.98,-544.87
112,179.53,266.48,-743.45
113,182.39,268.35,-789.05
114,181.64,274.55,-799.60
115,184.08,281.92,-771.10
116,187.48,286.95,-542.20
117,186.10,298.50,-761.05
118,218.45,298.45,-500.35
119,207.98,297.15,-680.54
120,235.17,304.80,-502.95
121,230.52,319.80,-775.95
122,214.52,312.45,-835.70
123,212.98,312.00,-731.90
124,216.79,320.74,-525.80
125,215.01,321.83,-839.55
126,250.05,331.12,-618.65
127,228.91,341.83,-820.45
128,221.22,345.65,-830.90
129,253.76,343.23,-611.55
130,252.15,340.25,-234.05
131,279.25,353.55,-527.90
132,241.73,360.61,-878.80
133,241.86,356.50,-740.44
134,255.03,354.10,-641.55
135,269.51,359.05,-163.39
136,272.94,359.43,-707.55
137,266.47,360.50,-754.00
